Word,#Occurencies
в,837
и,633
на,308
не,305
я,220
с,213
как,187
что,179
к,145
а,131
то,122
это,116
арво,114
о,112
все,112
из,111
но,104
его,103
по,102
он,95
за,82
от,81
же,73
мы,69
бы,65
так,65
когда,58
было,57
мне,56
у,53
она,53
стихи,51
метс,50
поэта,47
или,47
поэзии,44
для,43
только,43
ты,41
всего,38
еще,38
ли,38
ее,37
стихотворении,37
они,36
вот,36
где,35
верлибра,34
поэт,34
их,34
жизни,33
меня,33
стихотворение,33
стихотворения,32
время,32
—,32
был,31
здесь,31
во,30
без,30
вы,30
стих,29
очень,29
себе,28
если,28
чтобы,28
нет,27
кто,27
даже,27
уже,27
метса,26
чем,26
поэтов,26
русского,25
эти,25
со,25
может,25
верлибр,24
нас,24
поэзия,24
человек,23
больше,23
до,23
том,23
году,23
есть,22
были,22
этом,22
после,22
пришла,22
солнце,22
можно,22
стиха,22
строки,22
себя,21
них,21
словно,21
много,21
более,20
ни,20
нужно,20
тебя,20
слова,20
сам,19
весь,19
мой,19
под,19
через,19
два,19
тем,19
стихов,19
стихах,19
хотя,18
знаю,18
своей,18
глаза,18
тебе,18
день,18
мир,18
быть,18
всегда,18
верлибре,18
жизнь,17
один,17
могу,17
ему,17
этот,17
3,17
судьба,16
тогда,16
людей,16
которая,16
русской,16
мира,16
солнца,16
над,16
ведь,16
лет,16
”,16
“в,16
годы,15
такой,15
девушки,15
нам,15
который,15
которые,15
одно,15
тоже,15
того,15
свободный,15
люди,14
между,14
какие,14
какой,14
небо,14
идут,14
при,14
блок,14
мороза,14
именно,14
осенних,13
года,13
будет,13
несколько,13
лишь,13
две,13
раз,13
белый,13
иногда,13
три,13
которых,13
2,13
мало,13
свободного,13
стихе,13
поэтому,13
потому,12
перед,12
хочу,12
нем,12
лежит,12
сегодня,12
руки,12
ничего,12
ней,12
писал,12
пушкина,12
эта,12
оно,12
прежде,12
была,12
книга,12
блока,12
сейчас,12
4,12
наш,11
моя,11
вместе,11
отец,11
душа,11
человека,11
свет,11
мои,11
вдруг,11
мысли,11
вас,11
него,11
н,11
1992,11
кажется,11
этого,11
основе,10
свой,10
земле,10
среди,10
там,10
вам,10
своим,10
россии,10
двух,10
одной,10
строк,10
взгляд,10
поэтической,10
думаю,10
слово,9
эстонской,9
института,9
словом,9
многих,9
совершенно,9
пути,9
х,9
начало,9
стоит,9
которую,9
никто,9
люблю,9
идет,9
окно,9
стал,9
нибудь,9
мою,9
друг,9
кого,9
почти,9
цветы,9
комнату,9
всеми,9
1,9
становится,9
сердца,9
большой,9
“я,9
такие,9
об,9
чувства,9
наиболее,9
некоторые,9
год,9
журнала,9
интонация,9
строке,9
читателя,9
мысль,9
свободном,9
отношение,9
лесах,8
вся,8
тому,8
той,8
всех,8
слов,8
воздух,8
своих,8
времена,8
сказать,8
сделать,8
гармонии,8
которого,8
владимир,8
тихо,8
неба,8
легко,8
маленький,8
увидеть,8
города,8
помню,8
землю,8
москва,8
дух,8
дети,8
свою,8
мной,8
долго,8
период,8
березы,8
свое,8
переводы,8
им,8
снег,8
начале,8
чуть,8
ей,8
книгу,8
г,8
душе,8
образ,8
которой,8
случае,8
стихотворений,8
возможно,8
строфа,8
трех,8
главное,8
статье,8
содержания,8
пишет,8
русский,8
сергей,8
наровчатов,8
происходит,7
настигла,7
людям,7
маленькая,7
лирика,7
руси,7
впрочем,7
поэтом,7
боль,7
дом,7
касается,7
золотой,7
давно,7
земли,7
листья,7
ночь,7
мимо,7
иду,7
красотой,7
тени,7
глазах,7
будто,7
домой,7
книги,7
поэзию,7
мире,7
ко,7
1967,7
работы,7
м,7
солнечный,7
каждый,7
синь,7
голос,7
действительно,7
любовь,7
взял,7
речи,7
статьи,7
случайно,7
форме,7
наполнила,7
одного,7
строфы,7
должен,7
русском,7
красоте,7
“свободный,7
статья,7
пр,7
говорить,6
тех,6
этим,6
парня,6
надо,6
сказал,6
художественного,6
облака,6
цивилизации,6
нами,6
опять,6
крови,6
те,6
всем,6
хороший,6
почему,6
написал,6
настоящей,6
остались,6
золотые,6
второй,6
будущее,6
смотреть,6
начинают,6
лист,6
звезды,6
нур,6
лица,6
красоту,6
птицы,6
немного,6
никогда,6
ветер,6
потом,6
собой,6
делает,6
многие,6
друга,6
чувствую,6
гудение,6
сад,6
вокруг,6
тобой,6
моей,6
куда,6
таки,6
разных,6
бог,6
деревянном,6
да,6
начинает,6
ваших,6
миг,6
внимательно,6
пушкин,6
сразу,6
искусство,6
сколько,6
сердце,6
эстонского,6
60,6
говорила,6
делать,6
цикла,6
озеро,6
цветок,6
чего,6
мамы,6
работал,6
пока,6
радость,6
рукопись,6
сборник,6
виду,6
казалось,6
вечера,6
рублева,6
поэты,6
кроме,6
верлибру,6
литературной,6
строках,6
таких,6
волнуется,6
5,6
тут,6
паоло,6
первая,6
роль,6
написано,6
культуры,6
поэтическая,6
вообще,6
канонического,6
писателей,6
москве,6
поэзии”,6
студии,6
составитель,6
глуши,5
страшно,5
литературного,5
имени,5
поэтами,5
вверх,5
возле,5
эстония,5
вдаль,5
литературы,5
первых,5
годов,5
редко,5
разговор,5
конечно,5
увидел,5
последней,5
нравственное,5
здание,5
построено,5
вечности,5
небосвода,5
1962,5
амуре,5
утром,5
дверь,5
твои,5
хорошо,5
смотрю,5
девушек,5
утро,5
улице,5
несет,5
четыре,5
головы,5
стать,5
дыхание,5
ходит,5
городе,5
внутри,5
смотрит,5
двери,5
поют,5
стою,5
трудом,5
особенно,5
самого,5
вновь,5
запах,5
смысл,5
нести,5
музыки,5
столько,5
лицо,5
тот,5
ждет,5
умею,5
деле,5
видно,5
свои,5
нашей,5
комнате,5
работу,5
дело,5
теми,5
живет,5
мама,5
доме,5
вечером,5
еле,5
стены,5
взять,5
годовые,5
кольца,5
злобе,5
времени,5
играют,5
одна,5
молитва,5
медленно,5
наших,5
писать,5
слышит,5
богатство,5
забыл,5
конце,5
какая,5
хотел,5
девочка,5
ой,5
другой,5
нашего,5
вовсе,5
имя,5
самой,5
такое,5
профессор,5
открывает,5
языке,5
б,5
печи,5
этих,5
своему,5
“исчезаю,5
стороны,5
кому,5
“годовые,5
кольца”,5
приходит,5
6,5
стоите,5
моем,5
поэтики,5
девушке,5
живой,5
звучит,5
буквально,5
содержанию,5
условно,5
назвать,5
волоховой,5
видимо,5
находим,5
болтовней,5
толстый,5
волнения,5
образом,5
пять,5
возникает,5
стык,5
франчески,5
также,5
хорей,5
каноническом,5
читатель,5
матери,5
первый,5
бурич,5
чувство,5
газете,5
поэтический,5
хх,5
верлибра”,5
др,5
последний,5
литературы”,5
вячеслав,5
куприянов,5
1989,5
судьбы,4
1970,4
институт,4
обычно,4
знал,4
голову,4
века,4
прошли,4
превращается,4
довольно,4
будут,4
реки,4
видеть,4
музыка,4
солнечных,4
лучей,4
кончины,4
дрова,4
…,4
последнее,4
успел,4
предисловии,4
книге,4
1997,4
песке,4
необъятность,4
смирнов,4
комсомольск,4
пярну,4
весна,4
наши,4
ноги,4
сосет,4
луч,4
вниз,4
старой,4
женщина,4
руку,4
большие,4
темные,4
играет,4
разные,4
капельки,4
счастья,4
осенние,4
линии,4
темноту,4
рядом,4
пор,4
часто,4
сквозь,4
земля,4
моего,4
дня,4
рукой,4
встает,4
лежат,4
поэту,4
дома,4
детства,4
детей,4
письма,4
дали,4
1965,4
искал,4
мгновенна,4
улицах,4
подобно,4
вещи,4
наше,4
пыль,4
новые,4
пчел,4
наконец,4
струна,4
камни,4
вещей,4
камень,4
ключ,4
вечер,4
такая,4
саду,4
нее,4
книг,4
становятся,4
читать,4
прошел,4
белые,4
эстонию,4
вид,4
постепенно,4
далеко,4
пеленки,4
звезда,4
кончается,4
июльских,4
такого,4
купола,4
заботами,4
маленькое,4
капли,4
крупные,4
язык,4
душу,4
вероятно,4
рублевская,4
темных,4
говорят,4
вытекающими,4
маму,4
поле,4
нельзя,4
дерева,4
хотите,4
лето,4
прелесть,4
читал,4
ту,4
старом,4
твой,4
солнцем,4
стали,4
знаешь,4
ростки,4
знаем,4
бабка,4
тропы,4
слишком,4
двадцати,4
лесу,4
своем,4
зимнее,4
другу,4
клевер,4
сын,4
вопрос,4
старался,4
наверное,4
выше,4
начала,4
небе,4
однажды,4
сами,4
хочется,4
смех,4
весне”,4
каждая,4
песчинка,4
тесно,4
твоего,4
прогулки”,4
нежность,4
неизданные,4
улыбку,4
этой,4
передать,4
продолжают,4
последние,4
возникла,4
нелепо,4
1908,4
истории,4
волохова,4
данном,4
причины,4
условности,4
невольно,4
немало,4
уитмен,4
отличие,4
голосом,4
оказалось,4
пестрый,4
кот,4
ударных,4
гласных,4
слышим,4
пример,4
совсем,4
места,4
немножко,4
досадно,4
захотела,4
каким,4
находится,4
виде,4
заметил,4
помощью,4
интонации,4
котором,4
возможности,4
первой,4
место,4
целом,4
отсутствие,4
элементов,4
строка,4
рифма,4
метрические,4
п,4
весьма,4
одну,4
хотелось,4
всему,4
значение,4
